"Id","AB_Thorn","AB_W_Thorn","Nar","Cal","cal_riosu_zr","Na_un_cusal","Na_un_cusba","srtm","slope","intDrain","extDrain","effDepth","trmm_0","trmm_1","trmm_2","trmm_3","tempAvg_0","tempRang_0","PrecAcc_0","tempAvg_1","tempRang_1","PrecAcc_1","tempAvg_2","tempRang_2","PrecAcc_2","tempAvg_3","tempRang_3","PrecAcc_3","Yield","Yield_2","Region"
81,1,1,0,0,0,0,1,2399,50,2,2,75,3.968995167,4.292757037,0.9716618,2.6448663,14.6,6.8,267,13.6,7.1,262,147,77,205,146,80,144,0.01,0.891985387746444,"Caldas"
82,1,1,0,0,0,0,1,2399,50,2,2,75,4.533158503,1.3210617,2.6905464,0.7731012,13.6,7.1,262,14.7,7.7,205,146,80,144,140,79,121,0.01,0.293067907351236,"Caldas"
83,1,1,0,0,0,0,1,2399,50,2,2,75,1.443691903,2.3672277,1.0413261,1.8893692,14.7,7.7,205,14.6,8,144,140,79,121,140,75,153,0.01,1.64136275358962,"Caldas"
84,0,1,0,0,0,0,1,2044,12,2,2,72,5.443573763,2.167143333,0.484059133,3.352851,16.8,7.7,240,17.4,8.2,185,171,85,120,169,84,117,0.01,0.996272276245552,"Caldas"
85,0,1,0,0,0,0,1,2044,12,2,2,72,5.12286273,1.376048667,0.8431986,3.685684733,16.8,7.7,240,17.4,8.2,185,171,85,120,169,84,117,0.01024,0.884725878917964,"Caldas"
86,1,1,0,0,0,0,1,2349,32,2,3,70,2.023279833,2.313193067,2.344093397,5.4789364,15.5,8.1,155,15.1,8.1,130,151,76,181,150,74,283,0.01058,2.98530248266024,"Caldas"
87,1,1,0,0,0,0,1,2349,32,2,3,70,4.265030633,5.584259563,1.937060533,0.487284333,15.5,7.2,321,15.1,7.4,286,157,79,222,155,81,155,0.01058,-2.06932327988953,"Caldas"
88,1,1,0,0,0,0,1,2399,50,2,2,75,3.5194093,4.842832003,0.7978989,2.8398553,14.6,6.8,267,13.6,7.1,262,147,77,205,146,80,144,0.01083,-1.48886197252179,"Caldas"
89,1,1,0,0,0,0,1,2399,50,2,2,75,4.7471222,5.1943872,1.871782703,0.8510077,14.6,6.8,267,13.6,7.1,262,147,77,205,146,80,144,0.01083,-0.165398603169281,"Caldas"
90,0,1,0,0,0,0,1,2331,2,2,2,75,1.385043767,0.8442071,3.424325433,1.711834997,15.9,7.9,219,15.8,8.2,151,154,81,129,152,77,179,0.01111,-1.51976899862301,"Caldas"
91,1,1,0,0,0,0,1,2349,32,2,3,70,4.4940516,1.006065133,2.638219167,2.034713133,15.1,7.4,286,15.7,7.9,222,155,81,155,151,81,130,0.01117,-0.0648627434089645,"Caldas"
92,1,1,0,0,0,0,1,2349,32,2,3,70,2.684447167,2.14139663,2.974089567,5.802360733,15.5,8.1,155,15.1,8.1,130,151,76,181,150,74,283,0.01117,0.900257148141323,"Caldas"
93,1,1,0,0,0,0,1,2349,32,2,3,70,3.341887267,5.762997433,3.188047567,1.4425326,15.1,7.6,181,15,7.4,283,150,74,342,152,81,245,0.01146,0.96244741473925,"Caldas"
94,1,1,0,0,0,0,1,2267,7,2,3,70,1.889931767,2.040025533,2.221906233,6.182176,15.1,8.2,159,14.7,8.1,129,146,77,180,145,74,286,0.01167,0.163334012852056,"Caldas"
95,1,1,0,0,0,0,1,2349,32,2,3,70,2.8474857,2.230362067,1.522791967,1.438878,15,7.4,342,15.2,8.1,245,153,81,200,155,84,180,0.01176,0.211483035636372,"Caldas"
96,1,0,0,1,0,0,0,1960,14,3,2,64,1.6196872,1.858177233,3.979479267,0.7303236,17.3,9.7,54,17.4,9.3,162,176,92,202,174,93,161,0.0119,-1.11180707147845,"Caldas"
97,1,0,0,1,0,0,0,1960,14,3,2,64,1.4639445,2.991369667,2.985789233,0.4490539,17.3,9.7,54,17.4,9.3,162,176,92,202,174,93,161,0.0119,-1.22630680953953,"Caldas"
98,0,1,0,0,0,0,1,2044,12,2,2,72,4.117828233,5.01621643,1.275835533,0.978936467,17,7.5,278,16.8,7.7,240,174,82,185,171,85,120,0.0119,-0.420328602745218,"Caldas"
99,0,1,0,0,0,0,1,2044,12,2,2,72,1.385043767,0.8442071,3.424325433,1.711834997,17.4,8.2,185,17.1,8.5,120,169,84,117,166,79,148,0.01214,-0.294358832357453,"Caldas"
100,1,1,0,0,0,0,1,2349,32,2,3,70,5.443573763,2.167143333,0.484059133,3.352851,15.1,7.4,286,15.7,7.9,222,155,81,155,151,81,130,0.01235,1.4366431916925,"Caldas"
101,0,1,0,0,0,0,1,2331,2,2,2,75,4.4940516,1.006065133,2.638219167,2.034713133,15.3,7.4,280,15.9,7.9,219,158,82,151,154,81,129,0.01244,-0.680547375704172,"Caldas"
102,1,1,0,0,0,0,1,2399,50,2,2,75,5.905670167,4.392299733,3.25103167,0.6241094,14.5,7.3,175,14.6,6.8,267,136,71,262,147,77,205,0.0125,-1.48433602907706,"Caldas"
103,1,1,0,0,0,0,1,2399,50,2,2,75,3.337833667,4.235029537,0.7032616,2.6039221,14.6,6.8,267,13.6,7.1,262,147,77,205,146,80,144,0.0125,-0.299868674443173,"Caldas"
104,1,1,0,0,0,0,1,2399,50,2,2,75,4.552767603,1.0586177,2.6101216,0.672852,13.6,7.1,262,14.7,7.7,205,146,80,144,140,79,121,0.0125,-0.155554010790917,"Caldas"
105,1,1,0,0,0,0,1,2349,32,2,3,70,0.505885133,3.044595,1.852282097,3.383248567,15.7,7.9,222,15.5,8.1,155,151,81,130,151,76,181,0.01293,-0.847975471515696,"Caldas"
106,0,1,0,0,0,0,1,2331,2,2,2,75,4.457345197,1.402927133,1.4770781,2.8522697,15.3,7.4,280,15.9,7.9,219,158,82,151,154,81,129,0.01311,-0.343189421731571,"Caldas"
107,0,1,0,0,0,0,1,2331,2,2,2,75,3.822440167,4.8146157,3.426696733,3.656759637,15.7,7.6,208,15.8,7.2,319,153,74,280,159,79,219,0.01311,0.68548876550036,"Caldas"
108,0,1,0,0,0,0,1,2331,2,2,2,75,0.534587333,3.4449317,1.725711397,4.740146933,15.8,8.2,151,15.4,8.1,129,152,77,179,151,75,279,0.01314,1.03131660949921,"Caldas"
109,1,1,0,0,0,0,1,2349,32,2,3,70,3.050345563,5.6671639,2.930285633,2.361684267,15.1,7.6,181,15,7.4,283,150,74,342,152,81,245,0.01323,0.317825050123661,"Caldas"
110,1,1,0,0,0,0,1,2349,32,2,3,70,4.117828233,5.01621643,1.275835533,0.978936467,15.5,7.2,321,15.1,7.4,286,157,79,222,155,81,155,0.01352,-0.230171536432039,"Caldas"
111,0,1,0,0,0,0,1,2331,2,2,2,75,3.587651997,4.5636563,0.681857633,2.638219167,15.8,7.2,319,15.3,7.4,280,159,79,219,158,82,151,0.01356,-0.133467939364112,"Caldas"
